PLOT,YEAR,HABITAT,ROW,COLUMN,CODE
1,2012,FLATWOODS,1,2,QUEMIN
1,2012,FLATWOODS,1,3,DICRAV
1,2012,FLATWOODS,1,3,BULCIL
1,2012,FLATWOODS,1,4,QUEMIN
1,2012,FLATWOODS,1,4,ARISTR
1,2012,FLATWOODS,1,5,ARISTR
1,2012,FLATWOODS,1,6,QUEMIN
1,2012,FLATWOODS,1,10,QUEMIN
1,2012,FLATWOODS,2,1,QUEMIN
1,2012,FLATWOODS,2,2,QUEMIN
1,2012,FLATWOODS,2,3,LICMIC
1,2012,FLATWOODS,2,6,SCHSCO
1,2012,FLATWOODS,2,7,SCHSCO
1,2012,FLATWOODS,2,9,QUEMIN
1,2012,FLATWOODS,3,2,QUEMIN
1,2012,FLATWOODS,3,3,QUEMIN
1,2012,FLATWOODS,3,7,PINPAL
1,2012,FLATWOODS,3,7,SCHSCO
1,2012,FLATWOODS,3,8,LICMIC
1,2012,FLATWOODS,4,2,QUEMIN
1,2012,FLATWOODS,4,5,QUEMIN
1,2012,FLATWOODS,4,6,DICOVA
1,2012,FLATWOODS,4,8,LICMIC
1,2012,FLATWOODS,5,1,QUEMIN
1,2012,FLATWOODS,5,2,QUEMIN
1,2012,FLATWOODS,5,2,DICSPH
1,2012,FLATWOODS,5,4,QUEMIN
1,2012,FLATWOODS,5,5,QUEMIN
1,2012,FLATWOODS,5,6,QUEMIN
1,2012,FLATWOODS,5,8,QUEMIN
1,2012,FLATWOODS,5,9,LICMIC
1,2012,FLATWOODS,6,1,TEPCHR
1,2012,FLATWOODS,6,3,QUEMIN
1,2012,FLATWOODS,6,4,QUEMIN
1,2012,FLATWOODS,6,5,QUEMIN
1,2012,FLATWOODS,6,8,QUEMIN
1,2012,FLATWOODS,6,8,CROPUR
1,2012,FLATWOODS,7,3,QUEMIN
1,2012,FLATWOODS,7,5,ARISTR
1,2012,FLATWOODS,7,7,QUEMIN
1,2012,FLATWOODS,7,10,QUEMIN
1,2012,FLATWOODS,8,2,QUEMIN
1,2012,FLATWOODS,8,4,GAYDUM
1,2012,FLATWOODS,8,5,ARISTR
1,2012,FLATWOODS,8,7,QUEMIN
1,2012,FLATWOODS,8,7,TEPHIS
1,2012,FLATWOODS,9,3,LICMIC
1,2012,FLATWOODS,9,4,GAYDUM
1,2012,FLATWOODS,9,6,LICMIC
1,2012,FLATWOODS,9,7,LICMIC
1,2012,FLATWOODS,9,9,ANDVIR
1,2012,FLATWOODS,10,5,GAYDUM
1,2012,FLATWOODS,10,7,QUEMIN
1,2012,FLATWOODS,10,10,QUEMIN
1,2012,FLATWOODS,11,2,QUEMIN
1,2012,FLATWOODS,11,4,QUEMIN
1,2012,FLATWOODS,11,5,QUEMIN
1,2012,FLATWOODS,11,6,QUEMIN
1,2012,FLATWOODS,11,10,QUEMIN
1,2012,FLATWOODS,12,2,QUEMIN
1,2012,FLATWOODS,12,4,QUEMIN
1,2012,FLATWOODS,12,5,QUEMIN
1,2012,FLATWOODS,12,9,QUEMIN
1,2012,FLATWOODS,12,10,QUEMIN
1,2012,FLATWOODS,13,3,QUEMIN
1,2012,FLATWOODS,13,5,GAYDUM
1,2012,FLATWOODS,13,6,QUEMIN
1,2012,FLATWOODS,13,7,QUEMIN
1,2012,FLATWOODS,13,8,QUEMIN
1,2012,FLATWOODS,13,10,QUEMIN
1,2012,FLATWOODS,14,1,LICMIC
1,2012,FLATWOODS,14,2,QUEMIN
1,2012,FLATWOODS,14,4,GAYDUM
1,2012,FLATWOODS,14,5,QUEMIN
1,2012,FLATWOODS,14,6,QUEMIN
1,2012,FLATWOODS,14,7,QUEMIN
1,2012,FLATWOODS,14,8,QUEMIN
1,2012,FLATWOODS,15,1,GAYDUM
1,2012,FLATWOODS,15,7,QUEMIN
1,2012,FLATWOODS,15,9,QUEMIN
1,2012,FLATWOODS,15,10,QUEMIN
1,2012,FLATWOODS,16,1,QUEMIN
1,2012,FLATWOODS,16,4,SCHSCO
1,2012,FLATWOODS,16,7,QUEMIN
1,2012,FLATWOODS,16,8,QUEMIN
1,2012,FLATWOODS,16,9,QUEMIN
1,2012,FLATWOODS,16,9,TRASMA
1,2012,FLATWOODS,17,3,RUBCUN
1,2012,FLATWOODS,17,5,QUEMIN
1,2012,FLATWOODS,17,6,QUEMIN
1,2012,FLATWOODS,17,6,ARISTR
1,2012,FLATWOODS,17,8,QUEMIN
1,2012,FLATWOODS,18,2,GAYDUM
1,2012,FLATWOODS,18,3,QUEMIN
1,2012,FLATWOODS,18,9,GAYDUM
1,2012,FLATWOODS,18,10,QUEMIN
1,2012,FLATWOODS,19,1,QUEMIN
1,2012,FLATWOODS,19,2,QUEMIN
1,2012,FLATWOODS,19,3,QUEMIN
1,2012,FLATWOODS,19,4,QUEMIN
1,2012,FLATWOODS,19,6,QUEMIN
1,2012,FLATWOODS,19,7,QUEMIN
1,2012,FLATWOODS,19,8,QUEMIN
1,2012,FLATWOODS,19,10,QUEMIN
1,2012,FLATWOODS,20,2,GAYDUM
1,2012,FLATWOODS,20,10,LICMIC
1,2012,FLATWOODS,21,1,ARISTR
1,2012,FLATWOODS,21,2,QUEMIN
1,2012,FLATWOODS,21,3,QUEMIN
1,2012,FLATWOODS,21,5,QUEMIN
1,2012,FLATWOODS,21,6,SCHSCO
1,2012,FLATWOODS,21,7,GAYDUM
1,2012,FLATWOODS,21,8,QUEMIN
1,2012,FLATWOODS,21,9,QUEMIN
1,2012,FLATWOODS,22,1,ARISTR
1,2012,FLATWOODS,22,3,QUEMIN
1,2012,FLATWOODS,22,4,QUEMIN
1,2012,FLATWOODS,22,5,QUEMIN
1,2012,FLATWOODS,22,6,TRASMA
1,2012,FLATWOODS,22,7,GAYDUM
1,2012,FLATWOODS,23,3,QUEMIN
1,2012,FLATWOODS,23,4,QUEMIN
1,2012,FLATWOODS,23,6,QUEMIN
1,2012,FLATWOODS,23,7,QUEMIN
1,2012,FLATWOODS,23,8,GAYDUM
1,2012,FLATWOODS,24,3,QUEMIN
